product_id,name,variant_label,image,cost_price,sell_price,profit,match_status
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: H,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: I,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: J,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: K,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: L,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: M,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: N,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: O,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: P,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: Q,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: R,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: S,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: T,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: U,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: V,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: W,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: X,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: Y,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
PROD-0929,Modian Gold Color Pendant Fashion Design Real 925,Gem Color: Z,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0941_modian-gold-color-pendant-fashion-design-real-925-.webp,"₦27,091","₦37,900","₦10,809",matched_variant
