product_id,name,variant_label,image,cost_price,sell_price,profit,match_status
PROD-0957,Modian Irregular Line Design Rings 925 Sterling,Gem Color: Rhr1789 • Ring Size: 6,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0969_modian-irregular-line-design-rings-925-sterling-si.webp,"₦48,137","₦63,900","₦15,763",matched_variant
PROD-0957,Modian Irregular Line Design Rings 925 Sterling,Gem Color: Rhr1789 • Ring Size: 7,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0969_modian-irregular-line-design-rings-925-sterling-si.webp,"₦48,137","₦63,900","₦15,763",matched_variant
PROD-0957,Modian Irregular Line Design Rings 925 Sterling,Gem Color: Rhr1789 • Ring Size: 8,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0969_modian-irregular-line-design-rings-925-sterling-si.webp,"₦48,137","₦63,900","₦15,763",matched_variant
PROD-0957,Modian Irregular Line Design Rings 925 Sterling,Gem Color: Rhr1789 • Ring Size: 9,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0969_modian-irregular-line-design-rings-925-sterling-si.webp,"₦48,137","₦63,900","₦15,763",matched_variant
PROD-0958,Modian Link Chain Adjustable Stars Sparkling,,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0970_modian-link-chain-adjustable-stars-sparkling-stars.webp,"₦27,254","₦37,900","₦10,646",matched
PROD-0959,Modian Link Chain Bracelet 925 Sterling Silver,,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0971_modian-link-chain-bracelet-925-sterling-silver-pol.webp,"₦27,122","₦37,900","₦10,778",matched
PROD-0960,Modian Link Chain Necklace 925 Sterling Silver,,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0972_modian-link-chain-necklace-925-sterling-silver-vin.webp,"₦42,712","₦55,000","₦12,288",matched
PROD-0961,Modian Long Chain Tassel Earrings 925 Sterling,,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0973_modian-long-chain-tassel-earrings-925-sterling-sil.webp,"₦50,487","₦66,000","₦15,513",matched
PROD-0962,Modian Love Hearts Ear Cuff 925 Sterling Silver,Gem Color: Rhe1027G,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0974_modian-love-hearts-ear-cuff-925-sterling-silver-go.webp,"₦27,292","₦37,900","₦10,608",matched_variant
PROD-0962,Modian Love Hearts Ear Cuff 925 Sterling Silver,Gem Color: Rhe1027S,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0974_modian-love-hearts-ear-cuff-925-sterling-silver-go.webp,"₦27,292","₦37,900","₦10,608",matched_variant
PROD-0963,Modian Lovely Starfish Blue Shell Round Zircon,Gem Color: Rose Gold Color,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0975_modian-lovely-starfish-blue-shell-round-zircon-925.webp,"₦39,990","₦52,500","₦12,510",matched_variant
PROD-0963,Modian Lovely Starfish Blue Shell Round Zircon,Gem Color: Silver Color,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0975_modian-lovely-starfish-blue-shell-round-zircon-925.webp,"₦39,990","₦52,500","₦12,510",matched_variant
PROD-0964,Modian Luxury 925 Sterling Silver Classic Round,Ring Size: 5,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0976_modian-luxury-925-sterling-silver-classic-round-cl.webp,"₦36,110","₦48,900","₦12,790",matched_variant
PROD-0964,Modian Luxury 925 Sterling Silver Classic Round,Ring Size: 6,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0976_modian-luxury-925-sterling-silver-classic-round-cl.webp,"₦36,110","₦48,900","₦12,790",matched_variant
PROD-0964,Modian Luxury 925 Sterling Silver Classic Round,Ring Size: 7,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0976_modian-luxury-925-sterling-silver-classic-round-cl.webp,"₦36,110","₦48,900","₦12,790",matched_variant
PROD-0964,Modian Luxury 925 Sterling Silver Classic Round,Ring Size: 8,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0976_modian-luxury-925-sterling-silver-classic-round-cl.webp,"₦36,110","₦48,900","₦12,790",matched_variant
PROD-0964,Modian Luxury 925 Sterling Silver Classic Round,Ring Size: 9,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0976_modian-luxury-925-sterling-silver-classic-round-cl.webp,"₦36,110","₦48,900","₦12,790",matched_variant
PROD-0965,Modian Luxury 925 Sterling Silver Water Drop,Ring Size: 5,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0977_modian-luxury-925-sterling-silver-water-drop-clear.webp,"₦53,564","₦68,900","₦15,336",matched_variant
PROD-0965,Modian Luxury 925 Sterling Silver Water Drop,Ring Size: 6,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0977_modian-luxury-925-sterling-silver-water-drop-clear.webp,"₦53,564","₦68,900","₦15,336",matched_variant
PROD-0965,Modian Luxury 925 Sterling Silver Water Drop,Ring Size: 7,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0977_modian-luxury-925-sterling-silver-water-drop-clear.webp,"₦53,564","₦68,900","₦15,336",matched_variant
PROD-0965,Modian Luxury 925 Sterling Silver Water Drop,Ring Size: 8,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0977_modian-luxury-925-sterling-silver-water-drop-clear.webp,"₦53,564","₦68,900","₦15,336",matched_variant
PROD-0965,Modian Luxury 925 Sterling Silver Water Drop,Ring Size: 9,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0977_modian-luxury-925-sterling-silver-water-drop-clear.webp,"₦53,564","₦68,900","₦15,336",matched_variant
PROD-0966,Modian Luxury D Color Moissanite Band Stackable,Gem Color: 0 05Ct X 31 • Ring Size: 5,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0978_modian-luxury-d-color-moissanite-band-stackable-ri.webp,"₦53,488","₦68,900","₦15,412",matched_variant
PROD-0966,Modian Luxury D Color Moissanite Band Stackable,Gem Color: 0 05Ct X 31 • Ring Size: 6,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0978_modian-luxury-d-color-moissanite-band-stackable-ri.webp,"₦53,488","₦68,900","₦15,412",matched_variant
PROD-0966,Modian Luxury D Color Moissanite Band Stackable,Gem Color: 0 05Ct X 31 • Ring Size: 7,https://raw.githubusercontent.com/Ejiro-David/fa-logistics-product-images/master/images/0978_modian-luxury-d-color-moissanite-band-stackable-ri.webp,"₦53,488","₦68,900","₦15,412",matched_variant
